dates,campaign_name,creative_name,total_spent,impressions,clicks,click_through_rate,leads,platform,adset_name
2024-05-04,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,89.0,32,5,15.625,3.0,facebook,all india generic leads ad set_240224
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,USP_S2_Faced-rejection,132.45,3123,6,0.19212296,0.0,facebook,usp-2_ap_ts_050424
2024-05-04,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,125.25,144,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,USP_S2_Faced-rejection,216.58,3694,6,0.16242555,0.0,facebook,usp-2_ka_tn_050424
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,447.16,554,5,0.90252708,0.0,facebook,usp-2_ka_tn_050424
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,761.86,2820,15,0.53191489,1.0,facebook,usp-2_ka_tn_050424
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,USP_S3_never-been-easier,119.34,2774,4,0.14419611,0.0,facebook,usp-2_ka_tn_050424
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,USP_S4_Do-you-have,2.62,58,0,0.0,0.0,facebook,usp-2_ka_tn_050424
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,USP_S1_We-guarantee,413.29,7045,19,0.26969482,1.0,facebook,usp-2_ap_ts_050424
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,USP_S4_Do-you-have,51.1,1042,3,0.28790787,0.0,facebook,usp-2_ap_ts_050424
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,886.83,3651,20,0.54779512,2.0,facebook,usp-2_ap_ts_050424
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,USP_S3_never-been-easier,119.44,3597,9,0.25020851,0.0,facebook,usp-2_ap_ts_050424
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,USP_S1_We-guarantee,259.75,5369,16,0.29800708,0.0,facebook,usp-2_ka_tn_050424
2024-05-04,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,270.84,600,3,0.5,0.0,facebook,usp-2_ap_ts_050424
2024-05-04,USP Study Abroad_Generic_240224,USP_S4_Do-you-have,44.43,43,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-04,USP Study Abroad_Generic_240224,USP_S1_We-guarantee,4.33,50,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-04,USP Study Abroad_Generic_240224,USP_S3_never-been-easier,29.45,3,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-04,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,47.93,43,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-04,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1328.0,2381,20,0.8399832,3.0,facebook,all india generic leads ad set_240224
2024-05-04,USP_2_Lead-gen-1_220124,USP_S1_We-guarantee,381.27,361,8,2.21606648,2.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-04,USP_2_Lead-gen-1_220124,USP_S2_Faced-rejection,78.84,22,1,4.54545455,1.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-04,USP_2_Lead-gen-1_220124,USP_S3_never-been-easier,7.09,4,1,25.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-04,USP_2_Lead-gen-1_220124,USP_S4_Do-you-have,0.27,2,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,USP_S2_Faced-rejection,253.02,3788,6,0.15839493,0.0,facebook,usp-2_ap_ts_050424
2024-05-03,USP Study Abroad_Generic_240224,USP_S1_We-guarantee,4.97,52,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-03,USP Study Abroad_Generic_240224,USP_S3_never-been-easier,16.55,4,0,0.0,0.0,facebook,all india generic leads ad set_240224
