"__typename","child_comment_count","comment_like_count","created_at","giphy_media_info","has_liked_comment","has_translation","is_covered","parent_comment_id","pk","restricted_status","text","user/fbid_v2","user/id","user/is_unpublished","user/is_verified","user/pk","user/profile_pic_url","user/username"
"XDTCommentDict","0","0","1722011532",,"false",,"false",,"17863434225189144",,"US","17841445815408315","45666527180",,"false","45666527180","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/396562725_1670765620100363_4580463554247092236_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=l9rAbb_o8DcQ7kNvgGOCAHo&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYA2qHnG7EJFzrYUFeV1QpKf3qr8Lb2Ghe6nYdlNuQU79g&oe=66B92843&_nc_sid=10d13b","vs_hariharan_official"
"XDTCommentDict","0","0","1722061115",,"false",,"false",,"18009763955543374",,"Us","17841452906500456","52803651550",,"false","52803651550","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/454622943_1016175073134970_6727716615316609826_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=v8zeK1lFqGIQ7kNvgH2KMyT&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAHpvyunAXn2iHkGDdA_b0xuuL1XKW8pFwVs1PczOuvNg&oe=66B940A7&_nc_sid=10d13b","pwrettis__08"
"XDTCommentDict","0","0","1722096934",,"false",,"false",,"18088284709461380",,"US","17841406698743740","6589927291",,"false","6589927291","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/436227262_1075862623522830_8156102796918170450_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=l1szbGw0GvcQ7kNvgE5cZiu&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBgQmBjujs6fGX1yZcV0lY3ROv_5k078tm70KnR1RCa6Q&oe=66B93400&_nc_sid=10d13b","cinnamonrollthatcankillyou"
"XDTCommentDict","0","0","1722181408",,"false",,"false",,"18246047071251487",,"Us","17841447893371705","47933644445",,"false","47933644445","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/449720137_1523787824879414_6482682667495958358_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=AuXvh976Bn4Q7kNvgGlSNwP&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDunEEmdMWn_gLmYP9ksimBhXlnAG7bC7EYUJ6BP8Sbtw&oe=66B9504C&_nc_sid=10d13b","mr.clickenz"
"XDTCommentDict","0","0","1722258766",,"false",,"false",,"18015575354214481",,"Us","17841444790317804","44782437010",,"false","44782437010","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/440345862_984511809858164_4857495750841918173_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=jX_azqBYjsQQ7kNvgEOBkO8&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAz2638Nx3Qse0uNA7oSfUyBRDLb3xWNoxjEMHhsW_uvQ&oe=66B9392E&_nc_sid=10d13b","__shubhumishra18"
"XDTCommentDict","0","0","1722323069",,"false",,"false",,"17865578988122141",,"Us","17841447712774635","47717086425",,"false","47717086425","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/434700542_1892824911171564_5711341403903300187_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=3nr6qPJu88cQ7kNvgFngHcY&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAZ3Pv3ciE2HKZCP4i0z8MJhmVSZUa64hW4hn-_5fQtkg&oe=66B92900&_nc_sid=10d13b","_ankushmz"
"XDTCommentDict","0","0","1722327192",,"false",,"false",,"17966008013782898",,"Us","17841465340985978","65487826032",,"false","65487826032","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/441639802_980784153389064_6809890071092271112_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=z53A8RJbEUAQ7kNvgH3CoS4&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDDqLLebYOt0dw79XSpvc6UsXaP3WFVh5KnpB-Ul66oDA&oe=66B953D0&_nc_sid=10d13b","riteshh_khurana"
"XDTCommentDict","0","0","1722355642",,"false",,"false",,"18032740666901801",,"Us","17841408484262195","8577562808",,"false","8577562808","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/318009655_160590362962398_4314011326763377834_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=J9zPmt1yi7kQ7kNvgHxWlOE&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYB_KNBAiaBMmVqg-h1HRcnCLPrbWkKC3H2A-x4MGEEZrg&oe=66B94414&_nc_sid=10d13b","mr__.bhuvan"
"XDTCommentDict","0","0","1722358496",,"false",,"false",,"17942078633839663",,"US","17841419696787794","19822352559",,"false","19822352559","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/454321517_1184516946001341_1970835963564811854_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=G3WK55fC6TYQ7kNvgE6XjK2&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBSDlGbUhbJkz4gB-Bjt6T-48N5fK3QlyikoXomBpmgUA&oe=66B94771&_nc_sid=10d13b","diaa.patell_"
"XDTCommentDict","0","0","1722416201",,"false",,"false",,"18035446124166267",,"US","17841464668553032","64664259618",,"false","64664259618","https://instagram.fkun2-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fkun2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=hfhAXG3fMTMQ7kNvgHV0tnt&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AYD30sQmEEzXxC9z57CsGe9HuVywOIUI3ZF4KPpWF5LzwA&oe=66B937CF&_nc_sid=65462d","lokesh_d25"
"XDTCommentDict","0","0","1722495126",,"false",,"false",,"18272923699211762",,"US","17841423262367445","23099567412",,"false","23099567412","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/382611871_1442967493163374_6572266039755084058_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=qMhXydBsLS4Q7kNvgHjW7q5&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDJruh34UZUOMEw2FbADen2DjhPCDjdWDClKvhSgQEzSw&oe=66B95A5F&_nc_sid=10d13b","me_gauravrathore"
"XDTCommentDict","0","0","1722514206",,"false",,"false",,"18291813586203881",,"Us","17841402347986645","2213166266",,"false","2213166266","https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/453422348_862378902478999_940899000410432018_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=JYTtaljsf9IQ7kNvgEALXma&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDvbSo56AQg3XehD5NE3_FFIRYjd4E98eb85b6IoDAFbA&oe=66B93C28&_nc_sid=10d13b","aroon._ms"
"XDTCommentDict","0","0","1722579293",,"false",,"false",,"18040546876943058",,"US","17841449220637210","49417680687",,"false","49417680687","https://instagram.ftas9-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.ftas9-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=hfhAXG3fMTMQ7kNvgFdG1B-&edm=AClPCLABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AYB66qrnlrwXrvi8LyknVJc_Lrod1a_GlvzL8R_ZBuz3_g&oe=66B937CF&_nc_sid=eec150","adityaramkokkirala"
"XDTCommentDict","0","0","1722596087",,"false",,"false",,"18109586608402030",,"US","17841457013093352","56986820436",,"false","56986820436","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/448150190_1248493829827515_593035636489335672_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=zHfGGm2VKIYQ7kNvgEirH9O&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDe743ylisRZpNxq7Mc-ynXNtrpVr0vOz3GiBSlaQR_jw&oe=66B94951&_nc_sid=10d13b","_vidha_r_dharshana__"
"XDTCommentDict","0","0","1722832034",,"false",,"false",,"17954158583803462",,"US","17841445119031034","45048279967",,"false","45048279967","https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/183097737_840427453523080_2102976572094976556_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=SLSBpLaPpmAQ7kNvgGUdLrO&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYD_1WwxQmRf0YqRVNtI3GAOcwrTToy3Vglu1qwKlgfsBA&oe=66B94B13&_nc_sid=10d13b","_mehh1818"
"XDTCommentDict","0","0","1722969617",,"false",,"false",,"18090195478460718",,"Us","17841403370789192","3513536359",,"false","3513536359","https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/434453618_7078909428886576_3028380746543202832_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=S7MHRRLqIY0Q7kNvgFKmIZ8&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDop3ZRXc8GZDBzQYdfFtCqnBT10Gt4aS_XofWcsbJDsg&oe=66B92DA1&_nc_sid=10d13b","_pravalikaaa._"
