"__typename","child_comment_count","comment_like_count","created_at","giphy_media_info","has_liked_comment","has_translation","is_covered","parent_comment_id","pk","restricted_status","text","user/fbid_v2","user/id","user/is_unpublished","user/is_verified","user/pk","user/profile_pic_url","user/username"
"XDTCommentDict","1","1","1720883289",,"false",,"false",,"18045082210873544",,"🙌🙌","17841400613598637","552788453",,"true","552788453","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/352204614_816867879798170_4818608731779457055_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=nkM8D4TTZbUQ7kNvgFtgXWh&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCxp8EVw4f4ya07y9VVbzp4unWFGuxZbDlFNduZ_OLiTA&oe=66B96ED2&_nc_sid=10d13b","raghavv01"
"XDTCommentDict","4","0","1721092889",,"false",,"false",,"17917628153852984",,"Aksar Foreign University m students ke sath fraud hota h , isme aisa to nhi h","17841400290152489","1439305671",,"false","1439305671","https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/236476608_155580266701020_4942146671417020156_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=6_fAznivpbkQ7kNvgE3Lrdz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDkvHxQkl4SxruKVUktBh8VqToTb-VBwaBjef8RTgOivQ&oe=66B9544B&_nc_sid=10d13b","neera_kh"
"XDTCommentDict","1","0","1720941285",,"false",,"false",,"18360383566100782",,"How would I apply","17841407227782838","7222704926",,"false","7222704926","https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/412078276_7142228489166924_8034361955850357948_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=o-xyy_pdh_gQ7kNvgGEHvpB&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCejx9amwB0CQlMJ_iWJnAVOruWv2vs3owdywJT5nVFwA&oe=66B959D9&_nc_sid=10d13b","mehku1322"
"XDTCommentDict","1","0","1720884311",,"false",,"false",,"17941950845842221",,"How to apply?","17841400925354753","304222845",,"false","304222845","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/273028797_655861612526189_5683928026290216449_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=Cg_POI1b5FEQ7kNvgH2LOgU&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYB9UerwQbcnLn3jV5ZMZ5vrAP2m8qlqNZYerv_ovb-WiA&oe=66B9874D&_nc_sid=10d13b","tarun9gupta"
"XDTCommentDict","1","0","1720888605",,"false",,"false",,"18343846003184934",,"Hi please help me","17841463157077859","63342873235",,"false","63342873235","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/451352529_1137303690680846_6106123748764606301_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=3LCLUp1xKdAQ7kNvgGi11nU&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCFzYoTT7WERwofeM22jrBUlaGugT_nMvAtiWvGLcYI4w&oe=66B95A09&_nc_sid=10d13b","iqrachoudhary276"
"XDTCommentDict","1","0","1721020279",,"false",,"false",,"18044969596859673",,"How to apply?","17841405603955483","5643866798",,"false","5643866798","https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/370372073_24010727458518423_4584909260670344737_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Ud9RSDVRCbUQ7kNvgEEWXNO&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDz55Uui02_0Zb0j9ScPgORKgHEkU_DhKeYG-8RBVZxyg&oe=66B96C92&_nc_sid=10d13b","_aishuuu.___"
"XDTCommentDict","0","1","1720883276",,"false",,"false",,"18439586410055445",,"🙌🔥","17841403275113336","3226693170",,"false","3226693170","https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/371080486_260788566773180_6336891633356984021_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=YTk-8K2kdfUQ7kNvgE8HltU&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBVvqCkhPdqUAOIN-pMdRpFAZERSyNRI52cponYYD8CHQ&oe=66B97CDF&_nc_sid=10d13b","rashiii_roy"
"XDTCommentDict","0","1","1720948079",,"false",,"false",,"18076997833502918",,"This is really amazing! 🔥😮","17841401101576916","442660719",,"false","442660719","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/448169640_977736273822949_6108006733062289190_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=5ZUV5hxmsSgQ7kNvgFUmUfa&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBcOB1XlefqyYIYFodJJw7ja2PGfQuxeXyacCPquGLyoA&oe=66B98292&_nc_sid=10d13b","samann.rahman"
"XDTCommentDict","0","1","1720884492",,"false",,"false",,"17851578357202123",,"👌🌹🌹","17841436552124923","36519386404",,"false","36519386404","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/261442050_258380489607737_4359523984470094857_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=WtsCnbIOl6sQ7kNvgGLbyKm&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYB6vC9UYK0qxAoGYLofupJc_ASBtnWAhE_YnplsWjGGNA&oe=66B96A7B&_nc_sid=10d13b","sureshji9178"
"XDTCommentDict","0","1","1721027906",,"false",,"false",,"18039507217813182",,"👍","17841406269011803","6254424967",,"false","6254424967","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/379929167_1021648522506926_269618927987320012_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=warlAOJW7z0Q7kNvgFYPBbp&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAp64gC7KfRPIEGQO5Iri7_h9RsspVNl-X7QKNNRv79sw&oe=66B9701B&_nc_sid=10d13b","nck002"
